Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
robot-bucatarie-multichef-900,Robot de Bucătărie MultiChef 900,"Robotul de bucătărie MultiChef 900 de la Kessel transformă prepararea zilnică a mâncării într-un proces simplu, cu un motor puternic de 900W și 9 accesorii incluse pentru orice rețetă. Bolul de inox de 5L, telul, cârligul de frământat și discul de tocat acoperă tot ce ai nevoie pentru aluaturi, creme sau tocaturi, iar cele 8 viteze dau control fin pe fiecare textură. Toate componentele merg direct la mașina de spălat vase, așa că îngrijirea zilnică durează câteva minute. Alege MultiChef 900 din categoria Electrocasnice de pe EstelaOferta pentru o bucătărie mai eficientă, cu livrare rapidă.",Kessel,Electrocasnice,Electrocasnice,"bestseller, flash-deal",TRUE,Culoare,Negru Onyx,,,ROBOT-BUCATARIE-MULTICHEF-900-BLA,4200,shopify,32,deny,manual,899,1299,TRUE,TRUE,https://picsum.photos/seed/robot-bucatarie-multichef-900-1/1200/1400,1,Robot de Bucătărie MultiChef 900 - imagine 1,FALSE,Robot de Bucătărie MultiChef 900,"9 accesorii, un singur motor de 900W care le face pe toate.",active
robot-bucatarie-multichef-900,,,,,,,,,Alb Crem,,,ROBOT-BUCATARIE-MULTICHEF-900-WHI,4200,shopify,32,deny,manual,899,1299,TRUE,TRUE,https://picsum.photos/seed/robot-bucatarie-multichef-900-2/1200/1400,2,Robot de Bucătărie MultiChef 900 - imagine 2,FALSE,,,
robot-bucatarie-multichef-900,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/robot-bucatarie-multichef-900-3/1200/1400,3,Robot de Bucătărie MultiChef 900 - imagine 3,,,,
robot-bucatarie-multichef-900,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/robot-bucatarie-multichef-900-4/1200/1400,4,Robot de Bucătărie MultiChef 900 - imagine 4,,,,
aspirator-robot-navclean-x2,Aspirator Robot NavClean X2,"Aspiratorul robot NavClean X2 de la Vantage automatizează curățenia acasă printr-o hartă precisă a fiecărei camere, generată cu tehnologie LiDAR. Evită obstacolele în timp real, aspiră și spală podeaua în aceeași trecere, apoi revine singur la stația de andocare pentru a-și goli rezervorul de praf. Cu autonomie de 150 de minute și control complet din aplicație, NavClean X2 acoperă apartamente și case cu mai multe camere fără supraveghere. Comandă acest aspirator robot din categoria Electrocasnice de pe EstelaOferta și primești livrare rapidă și garanție.",Vantage,Electrocasnice,Electrocasnice,flash-deal,TRUE,Culoare,Negru Onyx,,,ASPIRATOR-ROBOT-NAVCLEAN-X2-BLA,3600,shopify,14,deny,manual,1799,2399,TRUE,TRUE,https://picsum.photos/seed/aspirator-robot-navclean-x2-1/1200/1400,1,Aspirator Robot NavClean X2 - imagine 1,FALSE,Aspirator Robot NavClean X2,Cartografiere laser și golire automată a rezervorului.,active
aspirator-robot-navclean-x2,,,,,,,,,Alb Crem,,,ASPIRATOR-ROBOT-NAVCLEAN-X2-WHI,3600,shopify,14,deny,manual,1799,2399,TRUE,TRUE,https://picsum.photos/seed/aspirator-robot-navclean-x2-2/1200/1400,2,Aspirator Robot NavClean X2 - imagine 2,FALSE,,,
aspirator-robot-navclean-x2,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/aspirator-robot-navclean-x2-3/1200/1400,3,Aspirator Robot NavClean X2 - imagine 3,,,,
aspirator-robot-navclean-x2,,,,,,,,,,,,,,,,,,,,,,https://picsum.photos/seed/aspirator-robot-navclean-x2-4/1200/1400,4,Aspirator Robot NavClean X2 - imagine 4,,,,
espressor-brewmaster-pro,Espressor Automat BrewMaster Pro,"Espressorul automat BrewMaster Pro de la Auric aduce experiența unei cafenele acasă, măcinând boabele proaspăt la fiecare preparare și controlând presiunea la 15 bar pentru un espresso consistent. Spumatorul automat de lapte pregătește cappuccino sau latte cu un singur buton, iar cele 5 programe presetate acoperă toate băuturile preferate. Rezervorul de 1.8L reduce numărul de realimentări în timpul zilei. Găsești BrewMaster Pro în categoria Electrocasnice de pe EstelaOferta, cu livrare rapidă.",Auric,Electrocasnice,Electrocasnice,new,TRUE,Culoare,Negru Onyx,,,ESPRESSOR-BREWMASTER-PRO-BLA,8900,shopify,11,deny,manual,2199,,TRUE,TRUE,https://picsum.photos/seed/espressor-brewmaster-pro-1/1200/1400,1,Espressor Automat BrewMaster Pro - imagine 1,FALSE,Espressor Automat BrewMaster Pro,"Boabe proaspăt măcinate, espresso de nivel de cafenea acasă.",active
espressor-brewmaster-pro,,,,,,,,,Gri Piatră,,,ESPRESSOR-BREWMASTER-PRO-STO,8900,shopify,11,deny,manual,2199,,TRUE,TRUE,https://picsum.photos/seed/espressor-brewmaster-pro-2/1200/1400,2,Espressor Automat BrewMaster Pro - imagine 2,FALSE,,,
